[LOG] System::create                           : Header version = 1.10.09. Current version = 1.10.09.
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_12.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_13.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_13.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_14.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_14.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_15.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_15.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_16.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_16.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_17.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_17.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_18.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_18.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_19.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_19.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_20.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_20.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_21.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_21.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_22.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_22.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_23.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_23.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_24.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_24.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_25.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_25.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_26.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_26.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_27.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_27.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_28.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_28.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_29.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_29.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_30.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_30.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_31.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_31.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_32.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_32.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_33.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_33.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_34.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_34.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_35.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_35.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_36.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_36.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_37.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_37.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_38.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_38.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_39.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_39.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_40.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_40.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_41.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_41.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_42.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_42.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_43.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_43.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_44.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_44.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_45.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_45.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_46.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_46.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_47.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_47.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] SoundI::release                          : mainmenu (000000000BB572D8)
[LOG] SoundI::release                          :     mainmenu (000000006D8051B8)
[LOG] SoundI::release                          :     mainmenu (000000006DBD2618)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] ProfileClient::markForDead               : Closing client connection
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD profiler thread (send) finished.
[LOG] FMOD_OS_Net_Read                         : Interrupted.[ERR] ProfileClient::recvThreadLoopFunction    : Recv thread loop returned 16
[LOG] Thread::callback                         : FMOD profiler thread (recv) finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
